student_id,age,gender,attendance_rate,previous_grade,distance_to_school,parent_education,household_income,dropout
STU0097,15,female,97.58,D,7.61,none,high,0
STU0098,13,female,66.39,B,11.92,secondary,medium,0
STU0099,12,male,64.79,C,11.5,secondary,low,0
STU0100,14,male,85.3,C,1.3,none,medium,0
STU0101,17,male,39.91,D,0.91,secondary,medium,1
STU0102,13,male,89.55,C,1.14,none,low,0
STU0103,16,female,85.81,C,2.38,secondary,low,0
STU0104,14,male,86.35,C,5.12,secondary,low,0
STU0105,13,female,61.17,C,11.95,none,medium,1
STU0106,16,female,70.97,A,4.49,secondary,low,0
STU0107,14,male,68.4,B,7.38,secondary,low,1
STU0108,17,male,70.06,D,1.03,none,low,1
STU0109,12,male,67.95,C,2.38,secondary,medium,1
STU0110,14,male,71.85,C,12.82,higher,medium,1
STU0111,15,female,60.79,B,12.19,none,low,1
STU0112,12,female,90.58,B,1.24,primary,medium,0
STU0113,12,female,64.53,C,9.85,secondary,low,1
STU0114,17,female,63.26,B,1.15,higher,medium,1
STU0115,15,male,85.11,C,7.47,none,medium,0
STU0116,13,male,57.34,F,9.89,none,medium,1
STU0117,16,female,78.06,B,0.13,primary,low,0
STU0118,14,male,64.43,A,0.1,secondary,medium,0
STU0119,17,male,64.08,B,0.52,primary,high,0
STU0120,16,male,49.6,C,5.02,none,medium,0
STU0121,13,male,61.49,D,11.16,primary,low,1
STU0122,15,male,51.65,C,2.63,secondary,high,0
STU0123,17,male,84.09,D,0.75,secondary,medium,0
STU0124,17,female,69.55,C,3.9,primary,high,1
STU0125,14,female,74.15,B,3.73,higher,high,1
STU0126,16,female,77.94,C,4.04,primary,low,0
STU0127,16,male,60.32,C,1.55,primary,medium,1
STU0128,17,male,92.79,C,7.37,primary,low,0
STU0129,14,female,78.86,A,7.37,none,high,0
STU0130,12,female,86.22,F,2.53,higher,low,1
STU0131,16,male,97.51,A,4.52,primary,low,0
STU0132,13,male,69.72,C,6.51,none,low,0
STU0133,13,female,78.64,C,8.03,secondary,low,1
STU0134,16,female,55.21,C,10.32,secondary,medium,0
STU0135,12,male,71.61,C,11.68,higher,medium,0
STU0136,16,male,76.55,C,4.06,higher,low,0
STU0137,17,female,66.98,F,17.71,higher,high,1
STU0138,13,male,89.07,B,4.54,none,medium,1
STU0139,12,female,67.26,A,6.45,primary,medium,1
STU0140,13,female,90.48,B,4.78,higher,low,1
STU0141,17,female,52.72,F,3.76,higher,low,0
STU0142,15,male,100.0,A,2.54,primary,medium,0
STU0143,13,female,65.24,B,3.15,none,medium,0
STU0144,14,female,81.9,B,0.58,none,medium,1
STU0145,14,female,71.25,F,4.44,primary,medium,0
STU0146,12,female,92.51,B,1.31,secondary,medium,0
STU0147,14,female,99.32,F,0.3,primary,high,0
STU0148,17,male,69.4,B,5.95,secondary,low,0
STU0149,12,female,57.4,C,4.49,secondary,low,1
STU0150,14,male,83.15,C,0.46,secondary,low,0
STU0151,16,male,91.25,A,16.37,secondary,low,0
STU0152,16,male,75.65,C,4.24,higher,medium,0
STU0153,12,male,90.46,B,10.13,secondary,high,1
STU0154,13,male,91.0,B,6.99,secondary,low,0
STU0155,13,female,92.54,B,0.69,secondary,medium,0
STU0156,13,female,62.84,B,0.44,none,low,0
STU0157,12,female,87.93,B,0.69,secondary,high,1
STU0158,15,male,57.22,B,7.77,secondary,low,0
STU0159,14,female,69.02,C,6.16,secondary,high,1
STU0160,14,male,66.62,A,0.12,secondary,medium,0
STU0161,16,male,80.66,F,1.6,primary,low,1
STU0162,14,male,84.73,C,0.43,primary,high,0
STU0163,14,female,89.81,F,2.83,none,low,1
STU0164,15,female,88.47,A,1.2,primary,high,0
STU0165,16,female,71.9,B,17.24,primary,medium,0
STU0166,14,female,81.9,A,0.7,secondary,medium,0
STU0167,15,male,84.11,A,0.62,primary,low,0
STU0168,16,male,63.89,D,1.57,secondary,low,1
STU0169,14,male,74.79,C,2.49,none,medium,0
STU0170,17,female,89.1,C,0.54,none,low,1
STU0171,12,male,87.69,F,7.48,primary,high,1
STU0172,13,male,54.22,C,1.12,higher,medium,0
STU0173,12,male,58.39,D,0.66,higher,medium,0
STU0174,14,female,80.58,D,4.91,higher,medium,0
STU0175,15,female,72.42,C,7.66,secondary,medium,1
STU0176,17,female,84.75,C,3.26,secondary,medium,0
STU0177,17,female,98.51,A,2.84,higher,medium,1
STU0178,17,male,82.59,C,0.43,primary,low,0
STU0179,15,male,45.04,F,0.96,secondary,low,1
STU0180,17,male,51.57,D,3.33,secondary,low,0
STU0181,16,male,100.0,B,12.17,secondary,low,0
STU0182,16,male,67.86,B,5.01,secondary,low,0
STU0183,12,female,95.82,C,0.51,primary,medium,0
STU0184,15,female,69.56,C,1.49,higher,low,0
STU0185,13,male,58.2,D,1.34,primary,low,1
STU0186,15,female,71.11,C,4.8,primary,low,1
STU0187,15,female,93.51,C,5.45,secondary,medium,0
STU0188,15,female,70.45,A,1.57,none,low,0
STU0189,12,male,80.7,F,3.01,none,low,1
STU0190,15,female,77.09,C,3.03,higher,low,0
STU0191,13,male,81.79,C,1.84,none,low,1
STU0192,13,male,65.64,C,0.97,higher,medium,0
STU0193,15,male,100.0,D,4.81,primary,high,0
STU0194,13,female,91.58,B,5.38,primary,medium,0
STU0195,16,male,92.81,F,0.25,higher,low,0
STU0196,13,female,65.93,F,7.24,secondary,high,1
STU0197,12,male,70.1,B,10.16,primary,low,1
STU0198,12,male,55.83,C,2.46,secondary,low,1
STU0199,17,male,50.34,C,4.62,none,low,1
STU0200,13,female,75.89,B,0.13,primary,medium,0
STU0201,13,female,91.89,D,4.68,secondary,high,0
STU0202,13,female,71.21,F,0.31,higher,medium,1
STU0203,14,female,80.88,B,1.68,primary,low,0
STU0204,15,female,97.72,A,2.67,primary,medium,0
STU0205,15,female,86.6,D,1.75,none,medium,1
STU0206,17,male,78.36,F,5.01,none,high,1
STU0207,16,female,95.46,C,1.19,primary,high,0
STU0208,13,male,56.34,D,1.61,secondary,low,1
STU0209,14,female,64.61,C,3.01,secondary,high,1
STU0210,13,male,72.22,C,5.14,none,low,0
STU0211,16,female,73.05,F,3.43,secondary,medium,1
STU0212,13,female,100.0,A,23.7,secondary,medium,1
STU0213,14,male,66.7,A,0.41,primary,low,0
STU0214,14,female,65.26,A,3.66,none,medium,0
STU0215,14,female,56.64,C,5.26,higher,medium,1
STU0216,16,male,100.0,C,0.31,primary,medium,0
STU0217,15,male,81.29,A,3.84,primary,low,0
STU0218,15,female,74.7,F,0.64,primary,medium,1
STU0219,12,male,80.75,A,5.57,primary,high,1
STU0220,16,female,85.62,B,1.81,none,high,1
STU0221,15,female,89.35,B,1.82,secondary,medium,0
STU0222,13,female,74.91,B,9.53,higher,high,0
STU0223,15,female,87.58,D,10.52,primary,low,0
STU0224,12,female,57.18,F,2.12,secondary,low,0
STU0225,17,female,69.7,C,12.8,higher,low,0
STU0226,12,male,37.11,A,2.29,none,high,1
STU0227,17,female,75.96,C,16.88,secondary,medium,1
STU0228,14,male,79.25,C,4.83,primary,medium,1
STU0229,12,male,63.1,F,0.3,primary,low,1
STU0230,12,male,65.8,C,0.32,secondary,medium,0
STU0231,16,female,70.46,C,4.89,primary,medium,0
STU0232,16,female,55.91,B,3.29,secondary,low,0
STU0233,13,female,95.18,D,2.71,none,medium,1
STU0234,13,female,60.09,D,3.03,secondary,low,1
STU0235,15,male,74.54,C,6.68,primary,medium,0
STU0236,15,female,79.27,B,7.73,higher,low,0
STU0237,14,male,78.11,F,0.2,secondary,medium,1
STU0238,15,male,79.15,C,0.34,secondary,medium,1
STU0239,14,female,86.99,C,0.19,none,low,0
STU0240,14,male,75.15,F,3.1,primary,medium,0
STU0241,13,female,66.86,C,2.66,primary,low,0
STU0242,14,male,89.23,F,1.29,secondary,low,0
STU0243,13,female,75.52,F,0.36,primary,medium,1
STU0244,12,female,96.83,C,8.35,secondary,medium,1
STU0245,13,female,100.0,C,2.36,none,low,0
STU0246,17,male,78.16,F,0.06,primary,high,0
STU0247,17,female,82.69,C,3.93,primary,medium,1
STU0248,15,male,55.6,D,1.93,none,medium,1
STU0249,14,male,78.51,A,5.78,none,high,0
STU0250,16,female,79.63,B,3.55,secondary,high,0
STU0251,12,female,100.0,B,7.16,secondary,medium,0
STU0252,14,female,94.32,C,4.05,primary,low,0
STU0253,17,female,68.66,A,4.04,secondary,medium,0
STU0254,15,male,53.25,D,1.82,none,medium,0
STU0255,16,female,58.41,C,10.87,secondary,medium,1
STU0256,16,female,92.5,C,4.44,none,low,0
STU0257,14,male,66.41,C,0.27,secondary,low,0
STU0258,16,male,91.35,C,5.94,none,high,0
STU0259,12,female,53.69,A,2.34,secondary,low,0
STU0260,14,male,86.6,C,0.95,primary,medium,0
STU0261,12,female,88.23,C,2.42,secondary,low,0
STU0262,14,male,77.11,B,14.12,primary,high,1
STU0263,17,female,48.47,C,8.11,none,low,1
STU0264,15,female,74.59,D,6.54,primary,low,1
STU0265,15,female,100.0,F,5.35,secondary,low,1
STU0266,13,male,61.83,B,1.44,higher,medium,0
STU0267,13,male,62.6,A,3.34,none,low,1
STU0268,15,female,38.64,A,11.5,primary,medium,0
STU0269,12,male,88.26,C,0.27,higher,high,0
STU0270,15,male,86.91,C,4.17,none,low,0
STU0271,17,male,56.19,C,6.36,none,medium,1
STU0272,13,male,90.18,C,3.98,secondary,medium,1
STU0273,14,male,40.74,B,5.46,none,medium,1
STU0274,12,female,89.17,F,2.2,none,low,0
STU0275,16,male,64.66,D,3.94,higher,high,0
STU0276,12,female,69.59,D,21.0,primary,medium,1
STU0277,15,male,82.67,C,3.87,higher,high,1
STU0278,15,male,94.64,C,1.14,higher,medium,0
STU0279,13,female,66.48,B,8.0,secondary,medium,0
STU0280,17,male,56.57,D,2.26,secondary,medium,1
STU0281,16,female,78.19,C,2.26,none,medium,0
STU0282,17,male,80.1,C,22.29,primary,low,1
STU0283,16,male,66.86,C,19.51,higher,low,1
STU0284,17,male,67.14,B,2.05,higher,medium,0
STU0285,13,female,56.14,C,11.58,higher,high,1
STU0286,15,female,60.01,A,8.74,secondary,low,1
STU0287,17,male,67.43,C,6.91,primary,high,0
STU0288,15,male,81.06,C,0.67,secondary,low,0
STU0289,14,female,74.64,D,1.29,higher,high,1
STU0290,15,female,66.07,C,7.2,none,low,0
STU0291,17,male,56.81,D,0.3,secondary,low,0
STU0292,14,female,69.31,B,1.29,primary,high,1
STU0293,17,male,57.92,C,0.09,primary,low,1
STU0294,15,male,83.11,C,20.03,secondary,medium,1
STU0295,15,female,88.27,B,2.99,secondary,low,1
STU0296,17,female,76.29,A,8.7,primary,medium,1
STU0297,17,male,66.3,D,10.49,none,high,1
STU0298,17,female,83.39,C,1.68,secondary,medium,0
STU0299,16,male,100.0,B,1.45,secondary,medium,0
STU0300,17,female,58.19,B,0.9,primary,medium,0
STU0301,15,male,73.35,A,5.64,secondary,high,1
STU0302,17,male,61.56,B,20.63,primary,low,1
STU0303,13,male,61.04,F,4.63,none,medium,1
STU0304,16,female,100.0,C,2.97,primary,high,0
STU0305,16,male,67.4,D,8.96,none,medium,1
STU0306,16,male,46.87,A,2.53,higher,high,0
STU0307,14,male,76.73,C,0.15,secondary,high,1
STU0308,16,female,69.46,C,10.7,secondary,low,1
STU0309,17,male,58.15,C,15.4,secondary,medium,0
STU0310,15,female,69.35,C,8.06,secondary,medium,1
STU0311,16,male,83.64,B,0.42,none,medium,0
STU0312,14,female,78.49,A,0.75,secondary,medium,1
STU0313,13,male,88.7,D,3.78,secondary,medium,0
STU0314,12,male,38.21,F,2.55,none,high,1
STU0315,16,male,98.37,D,2.45,none,medium,1
STU0316,12,male,78.94,C,2.42,primary,low,0
STU0317,15,male,90.77,B,0.06,higher,medium,1
STU0318,14,male,56.0,D,0.23,secondary,medium,0
STU0319,14,male,75.66,B,0.03,primary,low,0
STU0320,12,male,76.61,C,4.34,secondary,high,1
STU0321,13,male,92.95,C,18.96,primary,low,1
STU0322,13,male,72.77,A,1.88,primary,high,0
STU0323,13,female,86.05,C,2.35,primary,medium,0
STU0324,16,male,78.03,F,0.16,none,medium,0
STU0325,14,female,63.33,B,0.92,secondary,high,0
STU0326,15,male,62.1,B,5.66,secondary,low,0
STU0327,15,male,83.35,B,40.79,secondary,medium,1
STU0328,15,male,61.47,C,7.86,primary,medium,0
STU0329,14,female,90.91,F,1.29,secondary,medium,0
STU0330,12,male,69.57,D,1.61,secondary,medium,0
STU0331,13,female,79.2,D,3.3,higher,low,0
STU0332,14,male,84.6,C,3.58,primary,high,0
STU0333,16,male,64.12,D,8.79,primary,low,1
STU0334,16,male,92.49,D,0.32,higher,medium,0
STU0335,14,male,71.93,C,0.1,higher,medium,0
STU0336,12,female,68.85,B,8.16,primary,low,1
STU0337,14,male,63.79,D,5.65,higher,low,1
STU0338,12,female,65.79,D,13.83,none,medium,1
STU0339,15,female,77.84,C,2.55,none,low,1
STU0340,14,male,82.05,C,4.3,secondary,high,1
STU0341,17,female,47.16,D,0.6,secondary,low,1
STU0342,17,male,89.72,C,9.95,primary,high,1
STU0343,16,male,93.54,B,3.24,primary,medium,0
STU0344,13,female,95.41,C,10.98,none,medium,1
STU0345,15,male,55.37,B,5.74,none,high,0
STU0346,17,female,90.9,B,7.47,none,low,0
STU0347,12,female,100.0,C,0.28,secondary,medium,0
STU0348,15,male,85.41,C,4.38,higher,low,0
STU0349,13,female,98.94,A,8.76,higher,medium,0
STU0350,16,male,46.81,A,5.62,higher,high,1
STU0351,14,male,57.16,A,5.63,secondary,low,1
STU0352,14,female,65.13,B,14.41,secondary,high,1
STU0353,14,male,69.09,B,3.45,none,low,0
STU0354,15,male,94.06,B,9.79,none,medium,0
STU0355,15,male,84.46,C,10.19,primary,medium,0
STU0356,15,male,73.52,C,0.67,higher,medium,0
STU0357,16,male,68.49,A,4.33,primary,high,1
STU0358,13,female,78.45,B,5.82,none,medium,0
STU0359,15,female,97.2,C,0.16,higher,low,0
STU0360,12,female,84.26,D,2.53,none,low,1
STU0361,12,female,80.51,A,4.28,higher,low,0
STU0362,15,female,46.68,B,6.72,primary,medium,0
STU0363,14,female,64.12,D,3.97,secondary,medium,0
STU0364,13,female,71.65,A,1.8,primary,medium,1
STU0365,12,male,97.35,A,3.21,secondary,medium,0
STU0366,15,male,75.31,B,0.39,higher,low,1
STU0367,16,female,78.46,C,7.6,secondary,medium,1
STU0368,15,male,98.71,F,2.12,primary,high,1
STU0369,15,male,59.77,A,0.32,secondary,medium,1
STU0370,17,female,50.89,A,5.69,secondary,medium,1
STU0371,16,female,77.77,A,2.84,secondary,low,1
STU0372,14,female,68.56,F,1.1,higher,medium,0
STU0373,17,female,83.83,F,3.07,primary,low,1
STU0374,16,female,62.66,F,2.51,secondary,medium,0
STU0375,14,female,94.75,C,1.42,secondary,medium,0
STU0376,13,male,74.9,B,0.05,none,medium,0
STU0377,14,female,98.43,D,1.94,primary,medium,0
STU0378,14,female,74.7,B,0.63,secondary,high,0
STU0379,16,female,67.7,B,7.16,none,high,1
STU0380,14,female,76.51,B,7.75,primary,medium,0
STU0381,13,male,83.82,F,1.06,primary,low,1
STU0382,14,male,78.21,C,15.02,primary,medium,1
STU0383,13,female,72.16,B,1.66,secondary,medium,0
STU0384,14,female,84.93,B,3.93,higher,high,0
STU0385,16,male,83.08,A,0.37,primary,medium,0
STU0386,14,female,81.55,D,5.91,primary,high,0
STU0387,17,male,81.06,C,1.66,secondary,medium,1
STU0388,14,female,64.86,B,1.28,higher,low,0
STU0389,12,male,75.51,B,17.03,secondary,medium,0
STU0390,14,male,87.81,B,1.46,secondary,high,1
STU0391,12,female,78.54,B,7.02,higher,low,0
STU0392,13,female,100.0,C,7.59,none,low,0
STU0393,17,male,80.75,C,1.76,secondary,medium,0
STU0394,14,female,40.36,C,8.79,higher,high,0
STU0395,14,male,77.36,D,6.53,secondary,low,1
STU0396,16,male,55.51,C,9.71,higher,medium,0
STU0397,15,female,56.67,C,3.29,primary,low,0
STU0398,14,male,69.01,D,4.78,secondary,high,1
STU0399,14,female,79.5,A,17.06,secondary,high,1
STU0400,15,male,82.38,A,2.53,secondary,low,0
STU0401,17,female,67.11,C,10.26,primary,high,0
STU0402,16,male,54.82,A,1.03,none,medium,1
STU0403,14,male,85.23,D,2.82,higher,low,0
STU0404,16,female,100.0,B,0.29,primary,medium,0
STU0405,15,male,65.14,C,1.11,secondary,low,0
STU0406,12,male,74.59,C,0.54,higher,low,0
STU0407,14,female,70.99,C,1.14,secondary,medium,1
STU0408,14,male,86.14,A,5.85,secondary,high,0
STU0409,14,male,95.47,C,2.81,none,medium,0
STU0410,17,male,95.62,C,4.15,primary,medium,0
STU0411,12,female,89.33,B,0.01,primary,medium,1
STU0412,12,female,53.33,B,4.94,none,high,0
STU0413,17,female,96.46,C,6.47,primary,medium,0
STU0414,15,male,100.0,A,11.04,primary,medium,0
STU0415,12,female,74.79,B,27.95,primary,medium,1
STU0416,12,male,83.81,F,0.26,secondary,low,1
STU0417,17,female,58.07,B,12.11,none,medium,1
STU0418,16,female,49.22,B,10.81,primary,low,1
STU0419,14,female,94.12,C,6.79,secondary,low,0
STU0420,12,female,77.31,B,1.57,secondary,medium,0
STU0421,13,female,86.5,B,4.97,primary,medium,0
STU0422,12,male,83.07,B,8.71,none,low,1
STU0423,12,male,77.76,C,0.29,secondary,medium,0
STU0424,15,male,74.57,C,0.59,higher,medium,0
STU0425,12,female,72.69,C,8.76,secondary,high,0
STU0426,16,male,100.0,A,6.78,primary,low,0
STU0427,13,male,45.22,C,7.72,secondary,low,1
STU0428,16,female,84.57,B,8.83,none,high,1
STU0429,12,male,70.7,C,3.1,primary,medium,1
STU0430,16,female,98.92,C,3.36,primary,medium,0
STU0431,17,male,65.42,C,1.76,secondary,medium,0
STU0432,17,male,91.78,B,1.19,none,low,1
STU0433,12,female,100.0,C,16.08,primary,high,0
STU0434,12,female,62.3,B,1.14,secondary,low,0
STU0435,13,male,100.0,C,5.96,higher,low,0
STU0436,12,male,87.88,C,3.54,primary,low,1
STU0437,15,female,71.48,C,4.11,primary,low,0
STU0438,14,female,79.21,D,8.61,secondary,medium,1
STU0439,14,male,100.0,D,1.01,primary,low,0
STU0440,15,male,93.56,A,1.14,higher,medium,0
STU0441,13,male,68.14,C,0.34,higher,high,1
STU0442,17,female,46.85,B,2.16,primary,medium,1
STU0443,14,female,84.3,C,5.35,secondary,medium,1
STU0444,12,female,71.98,C,7.41,secondary,medium,1
STU0445,14,male,74.9,C,2.16,secondary,low,0
STU0446,14,male,62.99,B,2.13,secondary,medium,1
STU0447,13,male,97.6,C,4.32,higher,medium,1
STU0448,15,female,62.29,B,1.38,primary,medium,0
STU0449,13,male,65.22,C,0.4,none,medium,1
STU0450,12,female,65.13,F,1.53,secondary,low,0
STU0451,17,female,87.82,B,5.93,none,medium,0
STU0452,15,male,83.28,A,1.04,secondary,medium,0
STU0453,14,male,84.38,A,1.5,none,medium,0
STU0454,16,male,76.43,D,11.41,primary,high,1
STU0455,17,female,71.05,B,9.32,secondary,high,0
STU0456,16,male,84.04,C,3.14,none,high,1
STU0457,15,female,90.63,C,9.46,higher,low,1
STU0458,14,female,78.59,C,0.71,primary,medium,1
STU0459,14,male,82.26,A,2.48,primary,medium,0
STU0460,15,male,78.51,B,10.14,secondary,medium,1
STU0461,13,female,58.92,C,2.93,primary,high,0
STU0462,14,male,84.82,D,2.25,secondary,medium,1
STU0463,17,male,75.09,F,5.17,none,medium,1
STU0464,17,female,69.67,C,0.22,primary,low,0
STU0465,17,female,94.17,B,0.13,secondary,high,0
STU0466,15,female,60.3,C,0.83,primary,medium,1
STU0467,13,female,100.0,A,2.19,secondary,high,1
STU0468,14,male,54.18,C,4.54,secondary,high,0
STU0469,12,male,84.55,B,0.67,higher,medium,0
STU0470,15,male,83.73,B,0.68,secondary,medium,0
STU0471,15,female,77.36,C,1.83,higher,low,0
STU0472,17,male,49.05,A,0.92,none,high,0
STU0473,16,female,71.54,D,1.63,primary,low,1
STU0474,15,male,68.27,F,1.8,primary,medium,1
STU0475,14,female,91.36,B,21.61,none,medium,1
STU0476,15,female,73.86,B,1.81,secondary,high,1
STU0477,16,female,56.74,B,20.75,primary,low,1
STU0478,16,male,66.9,C,24.0,secondary,medium,1
STU0479,12,male,58.62,C,0.08,higher,medium,0
STU0480,14,male,91.36,A,8.04,none,medium,0
STU0481,16,male,94.36,D,11.03,higher,medium,1
STU0482,17,female,71.04,C,13.47,higher,low,1
STU0483,17,female,90.04,B,1.23,primary,high,0
STU0484,14,female,76.01,D,2.35,none,medium,1
STU0485,12,male,81.68,B,7.95,secondary,low,0
STU0486,15,female,69.59,D,0.0,primary,medium,0
STU0487,13,female,83.08,B,3.07,none,high,1
STU0488,13,female,65.16,C,3.16,higher,medium,0
STU0489,17,female,64.01,D,38.62,secondary,low,1
STU0490,15,female,77.12,C,12.07,secondary,medium,0
STU0491,13,female,43.04,B,9.14,primary,low,1
STU0492,17,male,78.74,B,0.95,primary,medium,0
STU0493,16,female,61.6,B,7.41,none,high,0
STU0494,14,male,65.4,C,8.77,none,low,0
STU0495,15,male,72.51,C,16.28,none,medium,0
STU0496,13,male,57.42,D,14.7,secondary,low,1
STU0497,15,female,92.2,C,0.05,higher,medium,0
STU0498,12,male,64.42,A,9.47,primary,high,0
STU0499,15,male,68.44,B,3.01,higher,low,1
STU0500,13,female,74.17,C,1.42,secondary,medium,0
STU0501,12,male,82.27,D,11.74,secondary,medium,0
STU0502,15,male,69.08,B,9.69,secondary,low,0
STU0503,16,male,83.63,C,2.9,none,high,0
STU0504,17,female,68.76,C,0.62,primary,medium,0
STU0505,14,female,81.16,B,4.38,secondary,low,0
STU0506,13,female,75.65,C,10.32,none,low,0
STU0507,16,male,71.15,D,8.76,none,medium,1
STU0508,13,male,97.75,C,5.38,none,medium,1
STU0509,12,male,84.03,D,13.93,primary,high,0
STU0510,16,male,46.38,C,0.27,none,medium,1
STU0511,17,female,62.09,D,5.84,none,high,1
STU0512,17,male,67.67,B,4.07,none,high,0
STU0513,14,male,81.3,D,2.4,primary,medium,0
STU0514,13,male,81.16,C,13.57,none,medium,1
STU0515,12,male,72.2,C,0.88,primary,medium,0
STU0516,12,male,72.98,F,4.74,none,low,1
STU0517,16,male,64.4,D,2.58,secondary,low,0
STU0518,17,female,68.02,C,2.67,primary,medium,0
STU0519,16,female,70.67,B,11.89,none,medium,1
STU0520,15,male,75.21,B,15.86,secondary,low,0
STU0521,13,male,51.35,A,1.68,primary,medium,1
STU0522,16,female,57.51,A,5.37,higher,low,0
